driver_id,givenName,familyName,nationality,dob
max_verstappen,Max,Verstappen,Dutch,1997-09-30
leclerc,Charles,Leclerc,Monegasque,1997-10-16
perez,Sergio,Pérez,Mexican,1990-01-26
russell,George,Russell,British,1998-02-15
sainz,Carlos,Sainz,Spanish,1994-09-01
hamilton,Lewis,Hamilton,British,1985-01-07
norris,Lando,Norris,British,1999-11-13
ocon,Esteban,Ocon,French,1996-09-17
alonso,Fernando,Alonso,Spanish,1981-07-29
bottas,Valtteri,Bottas,Finnish,1989-08-28
ricciardo,Daniel,Ricciardo,Australian,1989-07-01
vettel,Sebastian,Vettel,German,1987-07-03
kevin_magnussen,Kevin,Magnussen,Danish,1992-10-05
gasly,Pierre,Gasly,French,1996-02-07
stroll,Lance,Stroll,Canadian,1998-10-29
mick_schumacher,Mick,Schumacher,German,1999-03-22
tsunoda,Yuki,Tsunoda,Japanese,2000-05-11
zhou,Guanyu,Zhou,Chinese,1999-05-30
albon,Alexander,Albon,Thai,1996-03-23
latifi,Nicholas,Latifi,Canadian,1995-06-29
de_vries,Nyck,de Vries,Dutch,1995-02-06
hulkenberg,Nico,Hülkenberg,German,1987-08-19
piastri,Oscar,Piastri,Australian,2001-04-06
lawson,Liam,Lawson,New Zealander,2002-02-11
sargeant,Logan,Sargeant,American,2000-12-31
doohan,Jack,Doohan,Australian,2003-01-20
bearman,Oliver,Bearman,British,2005-05-08
colapinto,Franco,Colapinto,Argentinian,2003-05-27
antonelli,Andrea Kimi,Antonelli,Italian,2006-08-25
bortoleto,Gabriel,Bortoleto,Brazilian,2004-10-14
hadjar,Isack,Hadjar,French,2004-09-28
