race_id,driver_id,constructor_id,grid,position,position_order,points,laps,status
2022_1,leclerc,ferrari,1,1,1,26.0,57,Finished
2022_1,sainz,ferrari,3,2,2,18.0,57,Finished
2022_1,hamilton,mercedes,5,3,3,15.0,57,Finished
2022_1,russell,mercedes,9,4,4,12.0,57,Finished
2022_1,kevin_magnussen,haas,7,5,5,10.0,57,Finished
2022_1,bottas,alfa,6,6,6,8.0,57,Finished
2022_1,ocon,alpine,11,7,7,6.0,57,Finished
2022_1,tsunoda,alphatauri,16,8,8,4.0,57,Finished
2022_1,alonso,alpine,8,9,9,2.0,57,Finished
2022_1,zhou,alfa,15,10,10,1.0,57,Finished
2022_1,mick_schumacher,haas,12,11,11,0.0,57,Finished
2022_1,stroll,aston_martin,19,12,12,0.0,57,Finished
2022_1,albon,williams,14,13,13,0.0,57,Finished
2022_1,ricciardo,mclaren,18,14,14,0.0,57,Finished
2022_1,norris,mclaren,13,15,15,0.0,57,Finished
2022_1,latifi,williams,20,16,16,0.0,57,Finished
2022_1,hulkenberg,aston_martin,17,17,17,0.0,57,Finished
2022_1,perez,red_bull,4,18,18,0.0,56,Fuel pressure
2022_1,max_verstappen,red_bull,2,19,19,0.0,54,Fuel pressure
2022_1,gasly,alphatauri,10,R,20,0.0,44,Power Unit
2022_2,max_verstappen,red_bull,4,1,1,25.0,50,Finished
2022_2,leclerc,ferrari,2,2,2,19.0,50,Finished
2022_2,sainz,ferrari,3,3,3,15.0,50,Finished
2022_2,perez,red_bull,1,4,4,12.0,50,Finished
2022_2,russell,mercedes,6,5,5,10.0,50,Finished
2022_2,ocon,alpine,5,6,6,8.0,50,Finished
2022_2,norris,mclaren,11,7,7,6.0,50,Finished
2022_2,gasly,alphatauri,9,8,8,4.0,50,Finished
2022_2,kevin_magnussen,haas,10,9,9,2.0,50,Finished
2022_2,hamilton,mercedes,15,10,10,1.0,50,Finished
2022_2,zhou,alfa,12,11,11,0.0,50,Finished
2022_2,hulkenberg,aston_martin,17,12,12,0.0,50,Finished
2022_2,stroll,aston_martin,13,13,13,0.0,49,+1 Lap
2022_2,albon,williams,16,14,14,0.0,47,Collision damage
2022_2,bottas,alfa,8,R,15,0.0,36,Cooling system
2022_2,alonso,alpine,7,R,16,0.0,35,Water pump
2022_2,ricciardo,mclaren,14,R,17,0.0,35,Gearbox
2022_2,latifi,williams,18,R,18,0.0,14,Accident
2022_2,tsunoda,alphatauri,19,R,19,0.0,0,Power Unit
2022_2,mick_schumacher,haas,0,W,20,0.0,0,Withdrew
2022_3,leclerc,ferrari,1,1,1,26.0,58,Finished
2022_3,perez,red_bull,3,2,2,18.0,58,Finished
2022_3,russell,mercedes,6,3,3,15.0,58,Finished
2022_3,hamilton,mercedes,5,4,4,12.0,58,Finished
2022_3,norris,mclaren,4,5,5,10.0,58,Finished
2022_3,ricciardo,mclaren,7,6,6,8.0,58,Finished
2022_3,ocon,alpine,8,7,7,6.0,58,Finished
2022_3,bottas,alfa,12,8,8,4.0,58,Finished
2022_3,gasly,alphatauri,11,9,9,2.0,58,Finished
2022_3,albon,williams,20,10,10,1.0,58,Finished
2022_3,zhou,alfa,14,11,11,0.0,58,Finished
2022_3,stroll,aston_martin,19,12,12,0.0,58,Finished
2022_3,mick_schumacher,haas,15,13,13,0.0,57,+1 Lap
2022_3,kevin_magnussen,haas,16,14,14,0.0,57,+1 Lap
2022_3,tsunoda,alphatauri,13,15,15,0.0,57,+1 Lap
2022_3,latifi,williams,18,16,16,0.0,57,+1 Lap
2022_3,alonso,alpine,10,17,17,0.0,57,+1 Lap
2022_3,max_verstappen,red_bull,2,R,18,0.0,38,Fuel leak
2022_3,vettel,aston_martin,17,R,19,0.0,22,Accident
2022_3,sainz,ferrari,9,R,20,0.0,1,Spun off
2022_4,max_verstappen,red_bull,1,1,1,26.0,63,Finished
2022_4,perez,red_bull,3,2,2,18.0,63,Finished
2022_4,norris,mclaren,5,3,3,15.0,63,Finished
2022_4,russell,mercedes,11,4,4,12.0,63,Finished
2022_4,bottas,alfa,7,5,5,10.0,63,Finished
2022_4,leclerc,ferrari,2,6,6,8.0,63,Finished
